7422,5,3
8620,1,1
21662,7,7
23144,7,10
13150,9,9
17494,8,10
2108,1,1
241676,10,32
15679,8,10
150590,8,19
13195,7,7
62572,9,15
21233,8,11
17288,8,8
20782,8,10
8581,2,11
20980,7,12
21412,7,9
22060,8,10
14016,7,9
19882,10,6
13628,8,7
209342,10,25
215667,9,28
18374,9,9
21962,8,11
42690,8,24
6696,4,3
11600,6,5
22860,7,8
23171,10,13
16136,7,7
8444,6,5
20624,9,8
17343,10,11
11528,4,14
15022,6,7
8128,4,4
16088,7,6
13644,5,8
28027,10,14
17612,6,10
5752,2,4
15938,6,8
10829,7,7
16933,8,10
16870,7,10
7779,1,9
41450,9,22
14901,8,11
16431,9,10
18242,8,9
15398,7,9
13881,6,7
16264,7,7
10798,5,6
7220,1,10
18629,7,9
14651,7,8
13050,7,5
16098,8,10
148,1,1
11320,1,14
16114,7,7
13469,1,15
10535,7,7
8450,1,1
148,1,1
19629,7,11
2904,2,2
19890,8,10
4440,1,9
2280,2,2
10639,6,8
15314,1,1
14966,9,6
17602,6,9
10225,1,1
19306,7,12
8886,1,1
21146,7,9
16549,8,10
740,1,1
1148,1,1
2476,1,1
22037,8,11
148,1,1
8358,1,1
10986,1,12
588,1,1
12237,4,12
8398,1,11
148,1,1
148,1,1
888,1,1
33452,8,20
1176,2,1
444,1,1
8196,5,6
196,1,1
15627,7,9
10339,2,2
8988,2,13
1036,1,1
4778,4,4
16205,7,8
8872,1,11
12462,1,1
15246,7,10
1450,1,1
9674,7,5
1410,1,1
2280,1,1
13673,6,9
11666,1,14
15701,7,7
5118,1,8
629,1,1
7568,6,6
8802,4,4
9441,1,10
6656,2,9
588,1,1
9901,6,6
13388,1,1
1132,2,2
9096,1,14
588,1,1
888,1,1
148,1,1
10671,1,1
2992,1,2
1228,1,1
6966,6,5
11463,1,1
196626,10,24
623,1,1
3864,3,3
7052,1,1
3616,1,2
23501,7,10
444,1,1
6731,1,1
2774,1,2
11290,2,2
20808,8,10
98,1,1
3022,2,2
9987,1,12
9876,1,1
8200,1,11
2128,1,1
6102,1,1
986,2,2
2488,2,2
9622,7,7
2596,2,2
6804,1,8
2462,1,1
7765,1,1
986,2,2
9497,1,1
148,1,1
222,1,1
588,1,1
10315,2,2
3712,2,3
8651,1,12
296,1,1
222,1,1
8896,1,11
5210,3,4
10127,1,1
148,1,1
444,1,1
7251,1,9
8762,1,1
592,1,1
8267,1,10
6566,4,5
686,2,1
2958,4,3
296,1,1
592,1,1
6759,2,2
10818,1,1
6213,1,8
7626,1,8
1158,1,1
1016,1,1
1858,1,1
8663,1,1
6781,1,8
392,1,1
9667,1,13
665,1,1
2372,2,2
4196,2,2
1006,1,1
13481,1,16
148,1,1
7753,1,1
148,1,1
588,1,1
2832,1,2
6360,1,4
2300,1,1
7942,1,10
7433,1,10
2402,3,3
7532,1,10
888,1,1
4416,3,5
5870,1,7
9760,2,2
8572,1,12
888,1,1
3886,4,4
10782,1,1
2160,1,1
444,1,1
8868,1,1
15449,1,1
2204,1,1
392,1,1
2148,2,2
296,1,1
444,1,1
196,1,1
296,1,1
2228,1,1
10100,1,1
9180,2,2
592,1,1
10182,3,3
588,1,1
6000,1,9
9226,1,12
592,1,1
14392,2,2
296,1,1
8380,1,10
7362,1,10
7107,1,1
9816,1,6
932,2,2
1280,2,2
13161,1,1
1214,1,2
5251,1,7
2212,1,1
1818,1,1
4414,3,3
740,1,1
6342,5,4
5310,1,7
716,1,1
1216,1,1
7788,1,1
6261,1,8
11331,1,1
944,1,1
196,1,1
